Date	Fuel Probe 1 volume in tank	Fuel Probe 2 volume in tank	CALC FP1	FUEL 1 DIFF
18/01/2024 00:00:53	336.1 [lit]	362.4 [lit]	336.1	#VALUE!
18/01/2024 00:02:53	336 [lit]	362.4 [lit]	336	-0.1
18/01/2024 00:04:53	336.1 [lit]	362.4 [lit]	336.1	0.1
18/01/2024 00:06:54	336 [lit]	362.5 [lit]	336	-0.1
18/01/2024 00:08:54	335.9 [lit]	362.8 [lit]	335.9	-0.1
18/01/2024 00:10:54	335.8 [lit]	362.8 [lit]	335.8	-0.1
18/01/2024 00:12:55	335.8 [lit]	362.8 [lit]	335.8	0
18/01/2024 00:14:55	335.8 [lit]	362.8 [lit]	335.8	0
18/01/2024 00:16:55	335.7 [lit]	362.9 [lit]	335.7	-0.1
18/01/2024 00:18:56	335.7 [lit]	362.8 [lit]	335.7	0
18/01/2024 00:20:56	335.8 [lit]	362.8 [lit]	335.8	0.1
18/01/2024 00:22:56	335.8 [lit]	362.8 [lit]	335.8	0
18/01/2024 00:24:57	335.8 [lit]	362.8 [lit]	335.8	0
18/01/2024 00:26:57	335.8 [lit]	362.8 [lit]	335.8	0
18/01/2024 00:28:58	335.8 [lit]	362.8 [lit]	335.8	0
18/01/2024 00:30:58	335.8 [lit]	362.8 [lit]	335.8	0
18/01/2024 00:32:58	335.9 [lit]	362.8 [lit]	335.9	0.1
18/01/2024 00:34:59	335.9 [lit]	362.8 [lit]	335.9	0
18/01/2024 00:36:59	335.9 [lit]	362.8 [lit]	335.9	0
18/01/2024 00:38:59	335.8 [lit]	362.9 [lit]	335.8	-0.1
18/01/2024 00:41:00	335.8 [lit]	362.9 [lit]	335.8	0
18/01/2024 00:43:00	335.8 [lit]	362.9 [lit]	335.8	0
18/01/2024 00:45:00	335.8 [lit]	362.9 [lit]	335.8	0
18/01/2024 00:47:01	335.8 [lit]	362.9 [lit]	335.8	0
18/01/2024 00:49:01	335.8 [lit]	362.9 [lit]	335.8	0
18/01/2024 00:51:01	335.8 [lit]	362.9 [lit]	335.8	0
18/01/2024 00:53:02	335.8 [lit]	362.9 [lit]	335.8	0
18/01/2024 00:55:02	335.8 [lit]	362.9 [lit]	335.8	0
18/01/2024 00:57:03	335.8 [lit]	362.9 [lit]	335.8	0
18/01/2024 00:59:03	335.8 [lit]	362.9 [lit]	335.8	0
18/01/2024 01:01:03	335.8 [lit]	362.9 [lit]	335.8	0
18/01/2024 01:03:04	335.8 [lit]	362.9 [lit]	335.8	0
18/01/2024 01:05:04	335.8 [lit]	362.9 [lit]	335.8	0
18/01/2024 01:07:04	335.8 [lit]	362.9 [lit]	335.8	0
18/01/2024 01:09:05	335.8 [lit]	362.9 [lit]	335.8	0
18/01/2024 01:11:05	335.8 [lit]	362.9 [lit]	335.8	0
18/01/2024 01:13:05	335.8 [lit]	362.9 [lit]	335.8	0
